formula,target
SrLiAl3N4,0
YCu7O12,1
Nb2CrRe,1
Cs2VS5O,0
Pr(AlAu)2,0
WOF4,1
RbZn2HSe2O7,0
PuSi2,0
Cu(IO3)2,0
Ca2GaSi,1
CaAl2(Si3O10)2,1
DyAlNi,1
Ho,0
YbCl2,0
BaGe3,0
Be12W,0
La2TiZnO6,0
Al2VCl8,0
SrBe2(BO3)2,0
NdTlTe2,0
Cu3Hg2(Te3O8)2,0
Mg3(AsO4)2,1
LiHfMg14O15,1
MgH2,0
Mg4Si3,1
V2FeO4,0
VInO4,0
Y2CrH6,1
U,0
Li2Cr2O7,1
YbF2,1
Sb2BrF15,0
MoSeCl7O,0
Li9Co7O16,1
PPt3,1
La4Ni3Pb4,0
Co(CO3)2,0
BaLa2O4,1
GdBe2B5O11,0
TmO3,0
CsEr6CI12,1
Rb3Er,1
La5SmS8,1
Lu(Mg4Al3)4,1
CrSbO4,1
K2MgFe4P6(O4F3)4,1
Ba2Y7Cl25,1
CuH12Pt(CN2)4,0
TaPS6,0
Te7RhCl7,0
TiVO4,1
Li2CrPO4F,1
LiSn(PO3)4,1
KMgF3,0
Ca7Sn6,0
Sm(AlGe)2,1
NiAs,0
Nd2CuSi3Rh2,1
K6Al4Si6BH4ClO24,0
NiAg4(PO4)6,0
ZnCoMo2O7,1
Ti2MoPd,1
ZrCrFe,1
Sr2LuTaO6,1
BaTiAlCuO5,1
BaLiMg14,1
InCl,0
Li2FeO2,1
Ni2P,0
BaNaEuWO6,1
Li9Mn2AlO8,1
Li5Bi(P2O7)2,1
Y2W2O9,1
CuC3N2O5,0
SmGePd2,0
CsAlH24(SO10)2,0
Mn(GaSe2)2,0
Mg3Mo,1
MgCo4(P2O7)4,1
LiMg14CrO16,1
RbCuC2,0
Ca4Bi2Br4O3,1
Nb4NiP,0
UNbO5,1
BaClO3,1
CsAl(MoO4)2,0
La(ClO4)3,1
Li2CoNi3O8,1
ScGe,0
CaNi4B,0
ScP2O7,1
GaCuPd2,1
LiMnPO4,1
CeTeCl,0
Mn2CoGe,0
Li7Mn4CoO12,1
Ni2(SO4)3,1
P4Se3,0
Ba6Na2As2Ru2O17,0
Na3Ni2P2(CO7)2,1
CoPH4ClO3,0
Ba14Na11Li5N6,0
NbS2,0
Rb2Cr2O5,1
Pr2MgSe4,1
Ca(BO5)2,0
Cs2KMoCl6,1
Pr4NiS7,1
Cs5Te3H4NCl18,1
Tb2Ti2O7,1
Sr2GdBiO6,1
Se2SN2Cl,0
ThCl,1
CdCNCl3,1
V2O3,0
LiAlSiO4,1
NaNdPCO7,1
Sr2EuBiO6,1
NdMoO5,1
SiAs2,0
TaVZn2O6,1
SiIr2,0
CsCdF3,0
Li3GdO3,1
Rb2Li5(BO2)7,0
Ca2AgRh,1
ScC,1
LiFe2F5,1
NiH2SeO5,0
K2RbAsI6,1
KCaCeBiO6,1
Ho5(In2Pt)2,1
KNaMg14,1
LiFe8(O7F)2,1
BaCu(SeO3)4,1
LiAu(S2O7)2,0
HfSiW,1
BaSrFeBiO6,1
ThBrN,0
Al2CuMo,1
Ba3YF9,1
NbTe2(SeI3)2,0
Li2Nb2W2O13,1
MgCuPd2,1
CaSiPd,0
Rb2CdP2O7,0
Li8Mn13Cr3O32,1
Li7Mn2(CoO4)3,1
Mn3O5F,1
YbCd3,1
LiV2F5,1
CsGaP3HO10,0
MnZn2SbO6,1
OsF6,0
KMg6Cu,1
KTl4(CoSe)10,1
Li3Fe3(OF)4,1
SbO2,1
GePbN2,1
K3ReC4(N2O)2,1
Ca3(Bi2Pd)4,0
LiFe4(PO4)3,1
Zr3Ga,1
CaSm2S3,1
Li15H9N8,1
CsClO4,0
Tl4P4N4O9,1
Nd4Te3N2,0
NaBe4SbO7,0
LiSiNi2,0
