formula,prediction,dens_score,peak_score,is_valid,predicted_e_above_hull,is_theoretical
Sr2MgO4,19.07195473,18.31341442,2.066247243,TRUE,0.030771047,0.999608517
MgBeAl4O8,19.07116699,9.635380968,2.697117849,TRUE,0.060397975,1.000300884
Fe6CuRh,19.0680542,9.057857876,2.703479921,TRUE,0.044137508,0.999983668
NdZrNO2,19.06591415,15.50458226,2.301402992,TRUE,0.043172807,0.999916911
Ba3HfCd,19.06430244,1.015649621,3.296957439,TRUE,0.001561567,0.999852538
YbSm2Cd,19.06087112,4.859257237,3.023125137,TRUE,0.010378525,0.999966085
LiLa4AlO8,19.06019211,6.551532104,2.915757672,TRUE,0.047702864,1.001366735
GaCuCl2,19.05636978,19.27525422,2.198623226,TRUE,0.001856327,0.999556184
CaGa2Cu3(RuO6)2,19.05579185,17.0669079,2.196417328,TRUE,0.024574116,0.999989152
Li2V2CrO6,19.05005836,10.68753141,2.681567109,TRUE,0.06178835,1.000029087
Li5V2Fe3O10,19.04726791,33.22538622,1.195765273,TRUE,0.057320282,1.000023842
Mg8V5O16,19.04542923,15.4416158,2.225428758,TRUE,0.042205006,0.999652267
Ba6YI15,19.04110336,9.582050796,2.67097718,TRUE,0.075205535,1.00003767
Rb3HfO,19.04096222,2.01001267,3.186030079,TRUE,0.004054159,0.999926686
TiNbTl(O2F)2,19.04036713,15.9768688,2.228182039,TRUE,0.048182815,0.999860823
Li4Ti3V3(SbO8)2,19.03814507,9.217009767,2.758421721,TRUE,0.053465948,1.000025034
Fe4BSe,19.03047562,15.16105288,2.321015204,TRUE,0.045931891,0.999413252
Al3In11(GaO12)2,19.03036118,6.241873507,2.876807522,TRUE,0.03091605,0.999682546
Na3Cr(BO3)2,19.02519989,24.25724904,1.925305122,TRUE,0.040200323,1.000804424
Na7Cr3Co(PO4)6,19.01483154,18.59711394,2.131325307,TRUE,0.011970341,0.999840617
Ac2TlCr,19.01074219,2.217845735,3.220559137,TRUE,-3.75E-05,0.999858797
Sr3LaI9,19.01054382,5.561718902,2.886273087,TRUE,0.03642267,0.999979973
RbBa2I5,19.0051918,10.60967719,2.729167809,TRUE,0.000676036,1.00008297
Na2FeSiCO7,19.00309372,13.88129697,2.484943895,TRUE,0.048222408,1.000005722
BaLa7Mg5Nb3O24,19.00188637,14.96286661,2.314899376,TRUE,0.030927747,1.000036836
Zn32Ge31N65,18.99945831,16.30405609,2.531338427,TRUE,0.012294501,0.999726772
Li3Zn2,18.99438286,1.137892054,3.417763981,TRUE,0.094812311,0.999678612
Li4Ti3Cr3(SbO8)2,18.99296761,13.97919457,2.516479157,TRUE,0.053785056,1.000014186
Sr5Ca3Ti3Mn5O24,18.98842621,18.86791555,2.236906954,TRUE,0.05480101,1.000009298
CaNiBiP2O9,18.98784637,8.930886048,2.732908327,TRUE,0.065238707,1.000043869
Li2MnFe3O8,18.98373795,12.71677595,2.586538575,TRUE,0.078846037,0.999977589
Li4Co3Cu3(TeO8)2,18.9788723,16.95262422,2.124083843,TRUE,0.026411608,0.999782205
Ga6Ni6H2C,18.97686005,31.71134438,1.286931268,TRUE,0.096770704,1.000029325
Ba2FeMoO6,18.97095299,15.45099584,2.377058174,TRUE,3.66E-05,0.975719452
Ba4CN4,18.97057724,8.559409168,2.703150117,TRUE,0.028038606,0.999986172
Ca4TaCu,18.96615982,0.82641774,3.24407149,TRUE,0.021080926,0.999834895
NaFeSnO4,18.96114731,9.07146961,2.746851764,TRUE,0.044345543,0.998340368
La14CO23,18.96070862,7.405278358,2.824422925,TRUE,0.009760395,0.999931335
CaSnF4,18.95533752,9.860211171,2.625172088,TRUE,0.02593787,1.000203848
LiGd2Mg,18.95325089,3.750165374,3.170385465,TRUE,0.003176957,1.0000422
Li4Y3ZrO8,18.94738007,8.254879031,2.768415528,TRUE,0.087050669,1.000007272
Li7Fe8(BO3)8,18.94431686,16.34718064,2.378545089,TRUE,0.023932487,1.000024557
Nb3AlSi,18.9309082,9.948637955,2.640207692,TRUE,0.007535249,0.999566317
CaMn2O4,18.92963028,15.32109326,2.360213318,TRUE,0.077308044,1.000473499
Li17Fe6(Si2O7)6,18.92858696,20.84416913,2.108099771,TRUE,0.053976253,0.999959826
BaSr7Ti6Mn2O24,18.9272747,12.68542025,2.556731304,TRUE,0.024149239,1.000028014
K2CoH4(I2O7)2,18.92222786,3.039611203,3.03503657,TRUE,0.017261803,1.000397444
NaFeO3,18.92220116,10.34692713,2.678317609,TRUE,0.092460282,0.999767601
MgAgAsO5,18.91104126,9.870766177,2.642447157,TRUE,0.087410979,1.000137091
RbYb(MoO4)2,18.90789413,18.76879691,2.297495823,TRUE,0.053624302,1.000053763
Li4Ti3Mn4(FeO9)2,18.90745544,20.07814609,2.129874763,TRUE,0.083722465,1.000019431
Ca2Ta2MnO8,18.89559555,10.31748283,2.556005116,TRUE,0.053544238,0.999921918
Y2TlO4,18.8954258,8.833451463,2.815219607,TRUE,0.00483425,0.999899149
BaCe4(I4N)2,18.89191628,7.031395568,2.854736283,TRUE,4.24E-05,0.99894011
Ca2Ta3CuBrO10,18.886549,16.89897271,2.33845984,TRUE,0.072798885,1.000068784
BaNaFe2F9,18.88423729,8.621579176,2.758698917,TRUE,0.002224848,1.000522375
Li4Fe7(OF7)2,18.88158035,13.28252678,2.364940746,TRUE,0.071014553,0.999940753
NaGaBr3,18.87989044,9.886745464,2.828813519,TRUE,2.28E-05,1.000564933
Li3TiMn2O6,18.87453079,23.58997291,2.14883754,TRUE,0.068701133,1.000016809
Li3CoSiCO7,18.87052345,11.97285757,2.503726448,TRUE,0.083886594,0.999985099
RbBaSiHO4,18.86422348,4.997484806,2.911593929,TRUE,0.016708761,1.000347614
Li5Cr2P2(CO7)2,18.86300278,13.45504019,2.396973274,TRUE,0.055078104,0.999996305
LiMgVO4,18.85844421,25.13816475,1.990604603,TRUE,0.037866101,1.001765609
Li4Ti3Mn3(SbO8)2,18.85694122,11.24032776,2.542658387,TRUE,0.065273695,0.999996066
Al3CrO6,18.8560791,22.07183795,1.984834799,TRUE,0.016603738,0.999962032
LiTiCrSO8,18.85555649,22.64550994,1.929021775,TRUE,0.084141269,0.999863267
Na2SbPCO7,18.8543396,16.33930385,2.334796766,TRUE,0.00227344,0.999985099
SrAl6Si2P4(HO12)2,18.85099411,4.250770835,2.885653788,TRUE,0.085926563,1.000729561
Ba2PmZr,18.84767723,1.601805976,3.137438248,TRUE,1.07E-05,0.999875069
Tm2(SO4)3,18.84559441,9.387394741,2.659925062,TRUE,5.21E-05,1.000064373
Li2Ti2CoO6,18.84459496,11.71517506,2.477664614,TRUE,0.084663577,1.00003624
Li4Fe2Ni3Te(PO4)6,18.84421539,10.38418597,2.838365594,TRUE,0.081879862,1.000028014
NaCaAlSi2O7,18.83788872,11.55662219,2.539379346,TRUE,0.077977277,0.999411345
Ca24Si32CO90,18.83738327,16.66153727,2.129639194,TRUE,0.01740256,0.999874234
Eu(SnO2)2,18.8353653,15.18067553,2.220856295,TRUE,0.000103652,0.985165477
Ti3Mn2Sb(PO4)6,18.82106018,6.286952517,2.867292662,TRUE,0.047989368,1.000046492
Li4Mn3Fe2Sn3O16,18.82079506,8.694045191,2.760344632,TRUE,0.060481928,0.999952912
Li2CrAsCO7,18.81863594,9.054519096,2.665380821,TRUE,0.020027816,0.999973714
YCrO4,18.81851196,11.47913334,2.690838329,TRUE,0.000475019,0.983615756
LiTiMn3O8,18.81101227,10.66485295,2.680439208,TRUE,0.096213982,0.999982834
Zn3MoN4,18.80970764,12.93900347,2.510082515,TRUE,0.002332553,0.999883413
Ca4TiNb,18.80732918,1.235196817,3.244652963,TRUE,0.037484318,0.999912441
CsBa2Pm,18.80586052,1.388343784,3.04739348,TRUE,0.000195459,0.9997015
K4NbFe3(PO4)6,18.79724884,9.468018329,2.621154492,TRUE,0.051751554,0.999801159
Y9Hg3N,18.79649734,1.183888902,3.140520346,TRUE,0.025304392,0.999985456
Zr(ZnN)4,18.79449654,18.3937695,1.983350449,TRUE,0.072781436,0.999692917
CaCuF3,18.79415894,16.45801407,2.18958832,TRUE,0.000971794,0.99995625
Pr2NdO4,18.79413986,13.09715847,2.459020959,TRUE,0.037809327,0.999974072
Ba2HoTm,18.78213882,2.284210942,3.079954349,TRUE,0.00826323,0.999972045
NaCa4TaTi4(SiO5)5,18.77590942,11.1601579,2.533086476,TRUE,0.000330269,1.000051022
Sr6Ti3FeO14,18.76659966,8.697302079,2.742538457,TRUE,0.005081236,0.999931693
CaVBi2,18.76584625,10.80670174,2.473727187,TRUE,0.094185866,1.000250101
